Modelo,Tipo,k,Macro_Precision,Macro_Recall,Macro_F1,Micro_Precision,Micro_Recall,Micro_F1,TP,FP,FN
API Maritalk,Full Level,1,0.19695613249776187,0.09520399028008696,0.12187762004234698,0.19891500904159132,0.07586206896551724,0.10983524712930604,220,886,2680
API Deep-Seek,Full Level,1,0.24261414503133394,0.11113420300976252,0.1447805203848176,0.2430493273542601,0.09344827586206897,0.13499377334993776,271,844,2629
API GPT-Mini,Full Level,1,0.23008057296329454,0.10858166005883106,0.13954263184343757,0.23070017953321365,0.08862068965517242,0.12805181863477827,257,857,2643
API GPT‑4o,Full Level,1,0.1629364368845121,0.0793430532463657,0.10103806965937673,0.16337522441651706,0.06275862068965517,0.09068261086198305,182,932,2718
API Gemini,Full Level,1,0.06177260519247986,0.036818433729803465,0.04364368845120859,0.06182795698924731,0.02379310344827586,0.03436254980079682,69,1047,2831
Agregado_Borda,Full Level,1,0.2739480752014324,0.12866628298588906,0.1658019638771653,0.2739480752014324,0.10551724137931034,0.15235250186706498,306,811,2594
Agregado_Pluralidade,Full Level,1,0.2730528200537153,0.12072302510977534,0.1581738216026488,0.2730528200537153,0.10517241379310345,0.15185461787403534,305,812,2595
API Maritalk,Full Level,2,0.1432408236347359,0.13333546489320885,0.13039320174503705,0.14466546112115733,0.1103448275862069,0.12519561815336464,320,1892,2580
API Deep-Seek,Full Level,2,0.17726051924798567,0.15255041139105596,0.15527561069190435,0.17757847533632287,0.13655172413793104,0.1543859649122807,396,1834,2504
API GPT-Mini,Full Level,2,0.17815577439570277,0.1567026900285629,0.15743274928592743,0.17863554757630162,0.13724137931034483,0.15522620904836193,398,1830,2502
API GPT‑4o,Full Level,2,0.1432408236347359,0.12910005542055675,0.12805203848176097,0.1436265709156194,0.1103448275862069,0.124804992199688,320,1908,2580
API Gemini,Full Level,2,0.05863921217547001,0.05882678944451549,0.05509300706256839,0.05871806364858808,0.045172413793103446,0.05106217111674137,131,2100,2769
Agregado_Borda,Full Level,2,0.2215756490599821,0.1878895425672507,0.1915263389748618,0.2215756490599821,0.1706896551724138,0.19283209972730814,495,1739,2405
Agregado_Pluralidade,Full Level,2,0.21396598030438674,0.1778115274758068,0.1827642068465703,0.21396598030438674,0.16482758620689655,0.18620958317101674,478,1756,2422
API Maritalk,Full Level,3,0.12085944494180842,0.1626486763013173,0.13080900498089398,0.1220614828209765,0.1396551724137931,0.1302669668703763,405,2913,2495
API Deep-Seek,Full Level,3,0.165323783945091,0.19924649358400479,0.17127600341566324,0.1657194137002692,0.1910344827586207,0.1774787762293769,554,2789,2346
API GPT-Mini,Full Level,3,0.13936138466129513,0.1758845973483395,0.1469448486458334,0.13973668461998803,0.1610344827586207,0.14963152835629606,467,2875,2433
API GPT‑4o,Full Level,3,0.13384064458370637,0.16554653195208252,0.14010904543581357,0.1342745569240012,0.15413793103448276,0.14352223470862097,447,2882,2453
